StationCode,LongName,Number,Type,OperatingCompany,Destination,PlannedDepartureTime,Delay
HVL,Hoevelaken,31387,Stoptrein,Valleilijn,BNZ,2016-12-06T23:17:00Z,PT0S
HVL,Hoevelaken,31387,Stoptrein,Valleilijn,BNZ,2016-12-06T23:17:00Z,PT0S
VDO,Vlaardingen Oost,4193,Sprinter,NS,RTD,2016-12-06T23:16:00Z,PT1M5S
VDO,Vlaardingen Oost,4193,Sprinter,NS,RTD,2016-12-06T23:16:00Z,PT1M5S
SSH,Sassenheim,5791,Sprinter,NS,DMNZ,2016-12-06T23:11:00Z,PT0S
SSH,Sassenheim,5791,Sprinter,NS,DMNZ,2016-12-06T23:11:00Z,PT0S
CL,Culemborg,6086,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT2M19S
CL,Culemborg,6086,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT2M19S
HTNC,Houten Castellum,6086,Sprinter,NS,UT,2016-12-06T23:19:00Z,PT1M51S
HTNC,Houten Castellum,6086,Sprinter,NS,UT,2016-12-06T23:19:00Z,PT1M51S
HTN,Houten,6086,Sprinter,NS,UT,2016-12-06T23:23:00Z,PT1M32S
HTN,Houten,6086,Sprinter,NS,UT,2016-12-06T23:23:00Z,PT1M32S
UTLN,Utrecht Lunetten,6086,Sprinter,NS,UT,2016-12-06T23:27:00Z,PT1M13S
UTLN,Utrecht Lunetten,6086,Sprinter,NS,UT,2016-12-06T23:27:00Z,PT1M13S
CL,Culemborg,6086,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT2M19S
CL,Culemborg,6086,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT2M19S
ASS,Amsterdam Sloterdijk,303091,Intercity,NS,NM,2016-12-06T23:12:00Z,PT3M20S
ASS,Amsterdam Sloterdijk,303091,Intercity,NS,NM,2016-12-06T23:12:00Z,PT3M20S
BDPB,Breda-Prinsenbeek,15187,Sprinter,NS,BD,2016-12-06T23:03:00Z,PT11M19S
BDPB,Breda-Prinsenbeek,15187,Sprinter,NS,BD,2016-12-06T23:03:00Z,PT11M19S
EDC,Ede Centrum,31375,Stoptrein,Valleilijn,ED,2016-12-06T23:14:00Z,PT1M24S
EDC,Ede Centrum,31375,Stoptrein,Valleilijn,ED,2016-12-06T23:14:00Z,PT1M24S
RV,Reuver,32288,Stoptrein,Veolia,VL,2016-12-06T23:17:00Z,PT0S
RV,Reuver,32288,Stoptrein,Veolia,VL,2016-12-06T23:17:00Z,PT0S
BDPB,Breda-Prinsenbeek,15187,Sprinter,NS,BD,2016-12-06T23:03:00Z,PT11M19S
BDPB,Breda-Prinsenbeek,15187,Sprinter,NS,BD,2016-12-06T23:03:00Z,PT11M19S
EDC,Ede Centrum,31375,Stoptrein,Valleilijn,ED,2016-12-06T23:14:00Z,PT1M24S
EDC,Ede Centrum,31375,Stoptrein,Valleilijn,ED,2016-12-06T23:14:00Z,PT1M24S
HBZM,Hardinxveld Blauwe Zoom,36784,Stoptrein,Arriva,DDR,2016-12-06T23:17:00Z,PT0S
HBZM,Hardinxveld Blauwe Zoom,36784,Stoptrein,Arriva,DDR,2016-12-06T23:17:00Z,PT0S
GND,Hardinxveld-Giessendam,36784,Stoptrein,Arriva,DDR,2016-12-06T23:15:00Z,PT0S
GND,Hardinxveld-Giessendam,36784,Stoptrein,Arriva,DDR,2016-12-06T23:15:00Z,PT0S
HLO,Heiloo,3080,Intercity,NS,HDR,2016-12-06T23:13:00Z,PT3M18S
HLO,Heiloo,3080,Intercity,NS,HDR,2016-12-06T23:13:00Z,PT3M18S
ZP,Zutphen,7690,Sprinter,NS,ZP,2016-12-06T23:05:00Z,PT0S
ZP,Zutphen,7690,Sprinter,NS,ZP,2016-12-06T23:05:00Z,PT0S
BMN,Brummen,7690,Sprinter,NS,BMN,2016-12-06T23:11:00Z,PT0S
BMN,Brummen,7690,Sprinter,NS,BMN,2016-12-06T23:11:00Z,PT0S
DR,Dieren,7690,Sprinter,NS,DR,2016-12-06T23:17:00Z,PT0S
DR,Dieren,7690,Sprinter,NS,DR,2016-12-06T23:17:00Z,PT0S
RH,Rheden,7690,Sprinter,NS,RH,2016-12-06T23:22:00Z,PT0S
RH,Rheden,7690,Sprinter,NS,RH,2016-12-06T23:22:00Z,PT0S
VP,Velp,7690,Sprinter,NS,VP,2016-12-06T23:26:00Z,PT0S
VP,Velp,7690,Sprinter,NS,VP,2016-12-06T23:26:00Z,PT0S
AHPR,Arnhem Presikhaaf,7690,Sprinter,NS,AHPR,2016-12-06T23:29:00Z,PT0S
AHPR,Arnhem Presikhaaf,7690,Sprinter,NS,AHPR,2016-12-06T23:29:00Z,PT0S
AHP,Arnhem Velperpoort,7690,Sprinter,NS,AHP,2016-12-06T23:32:00Z,PT0S
AHP,Arnhem Velperpoort,7690,Sprinter,NS,AHP,2016-12-06T23:32:00Z,PT0S
VNDC,Veenendaal Centrum,7487,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT49S
VNDC,Veenendaal Centrum,7487,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT49S
GV,Den Haag HS,2695,Intercity,NS,ASD,2016-12-06T23:43:00Z,PT13M1S
GV,Den Haag HS,2695,Intercity,NS,ASD,2016-12-06T23:43:00Z,PT13M1S
RSW,Rijswijk,5182,Sprinter,NS,GVC,2016-12-06T23:15:00Z,PT0S
RSW,Rijswijk,5182,Sprinter,NS,GVC,2016-12-06T23:15:00Z,PT0S
MP,Meppel,9190,Sprinter,NS,ZL,2016-12-06T23:15:00Z,PT0S
MP,Meppel,9190,Sprinter,NS,ZL,2016-12-06T23:15:00Z,PT0S
MES,Meerssen,32087,Stoptrein,Veolia,HRL,2016-12-06T23:17:00Z,PT0S
MES,Meerssen,32087,Stoptrein,Veolia,HRL,2016-12-06T23:17:00Z,PT0S
DDR,Dordrecht,15184,Sprinter,NS,GVC,2016-12-06T22:55:00Z,PT29M
DDR,Dordrecht,15184,Sprinter,NS,GVC,2016-12-06T22:55:00Z,PT29M
DDZD,Dordrecht Zuid,15184,Sprinter,NS,GVC,2016-12-06T22:48:00Z,PT30M19S
DDZD,Dordrecht Zuid,15184,Sprinter,NS,GVC,2016-12-06T22:48:00Z,PT30M19S
HRLK,Heerlen De Kissel,32085,Stoptrein,Veolia,KRD,2016-12-06T23:15:00Z,PT1M12S
HRLK,Heerlen De Kissel,32085,Stoptrein,Veolia,KRD,2016-12-06T23:15:00Z,PT1M12S
ZWD,Zwijndrecht,15184,Sprinter,NS,GVC,2016-12-06T22:59:00Z,PT28M42S
ZWD,Zwijndrecht,15184,Sprinter,NS,GVC,2016-12-06T22:59:00Z,PT28M42S
BRD,Barendrecht,15184,Sprinter,NS,GVC,2016-12-06T23:05:00Z,PT28M14S
BRD,Barendrecht,15184,Sprinter,NS,GVC,2016-12-06T23:05:00Z,PT28M14S
RLB,Rotterdam Lombardijen,15184,Sprinter,NS,GVC,2016-12-06T23:09:00Z,PT27M55S
RLB,Rotterdam Lombardijen,15184,Sprinter,NS,GVC,2016-12-06T23:09:00Z,PT27M55S
RTD,Rotterdam Centraal,15184,Sprinter,NS,GVC,2016-12-06T23:26:00Z,PT21M16S
RTD,Rotterdam Centraal,15184,Sprinter,NS,GVC,2016-12-06T23:26:00Z,PT21M16S
SDM,Schiedam Centrum,15184,Sprinter,NS,GVC,2016-12-06T23:31:00Z,PT20M54S
SDM,Schiedam Centrum,15184,Sprinter,NS,GVC,2016-12-06T23:31:00Z,PT20M54S
RTZ,Rotterdam Zuid,15184,Sprinter,NS,GVC,2016-12-06T23:12:00Z,PT27M42S
RTZ,Rotterdam Zuid,15184,Sprinter,NS,GVC,2016-12-06T23:12:00Z,PT27M42S
DTZ,Delft Zuid,15184,Sprinter,NS,GVC,2016-12-06T23:37:00Z,PT20M26S
DTZ,Delft Zuid,15184,Sprinter,NS,GVC,2016-12-06T23:37:00Z,PT20M26S
DT,Delft,15184,Sprinter,NS,GVC,2016-12-06T23:40:00Z,PT20M12S
DT,Delft,15184,Sprinter,NS,GVC,2016-12-06T23:40:00Z,PT20M12S
GVMW,Den Haag Moerwijk,15184,Sprinter,NS,GVC,2016-12-06T23:48:00Z,PT19M35S
GVMW,Den Haag Moerwijk,15184,Sprinter,NS,GVC,2016-12-06T23:48:00Z,PT19M35S
RSW,Rijswijk,15184,Sprinter,NS,GVC,2016-12-06T23:45:00Z,PT19M49S
RSW,Rijswijk,15184,Sprinter,NS,GVC,2016-12-06T23:45:00Z,PT19M49S
GV,Den Haag HS,15184,Sprinter,NS,GVC,2016-12-06T23:55:00Z,PT17M21S
GV,Den Haag HS,15184,Sprinter,NS,GVC,2016-12-06T23:55:00Z,PT17M21S
BNC,Barneveld Centrum,31374,Stoptrein,Valleilijn,AMF,2016-12-06T23:15:00Z,PT2M44S
BNC,Barneveld Centrum,31374,Stoptrein,Valleilijn,AMF,2016-12-06T23:15:00Z,PT2M44S
BNC,Barneveld Centrum,31374,Stoptrein,Valleilijn,AMF,2016-12-06T23:15:00Z,PT2M44S
BNC,Barneveld Centrum,31374,Stoptrein,Valleilijn,AMF,2016-12-06T23:15:00Z,PT2M44S
RV,Reuver,32285,Stoptrein,Veolia,RM,2016-12-06T23:16:00Z,PT1M30S
RV,Reuver,32285,Stoptrein,Veolia,RM,2016-12-06T23:16:00Z,PT1M30S
UTVR,Utrecht Vaartsche Rijn,7484,Sprinter,NS,ASD,2016-12-06T23:23:00Z,PT0S
UTVR,Utrecht Vaartsche Rijn,7484,Sprinter,NS,ASD,2016-12-06T23:23:00Z,PT0S
DVD,Duivendrecht,1684,Intercity,NS,SHL,2016-12-06T23:10:00Z,PT5M41S
DVD,Duivendrecht,1684,Intercity,NS,SHL,2016-12-06T23:10:00Z,PT5M41S
DVD,Duivendrecht,1684,Intercity,NS,SHL,2016-12-06T23:10:00Z,PT5M41S
DVD,Duivendrecht,1684,Intercity,NS,SHL,2016-12-06T23:10:00Z,PT5M41S
DT,Delft,2693,Intercity,NS,ASD,2016-12-06T23:05:00Z,PT10M25S
DT,Delft,2693,Intercity,NS,ASD,2016-12-06T23:05:00Z,PT10M25S
UTVR,Utrecht Vaartsche Rijn,7489,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT0S
UTVR,Utrecht Vaartsche Rijn,7489,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT0S
HRLW,Heerlen Woonboulevard,32088,Stoptrein,Veolia,MT,2016-12-06T23:17:00Z,PT0S
HRLW,Heerlen Woonboulevard,32088,Stoptrein,Veolia,MT,2016-12-06T23:17:00Z,PT0S
DMNZ,Diemen Zuid,5784,Sprinter,NS,HFD,2016-12-06T23:15:00Z,PT0S
DMNZ,Diemen Zuid,5784,Sprinter,NS,HFD,2016-12-06T23:15:00Z,PT0S
DMNZ,Diemen Zuid,5789,Sprinter,NS,HVS,2016-12-06T23:14:00Z,PT1M48S
DMNZ,Diemen Zuid,5789,Sprinter,NS,HVS,2016-12-06T23:14:00Z,PT1M48S
ALM,Almere Centrum,4686,Sprinter,NS,ASD,2016-12-06T23:17:00Z,PT53S
ALM,Almere Centrum,4686,Sprinter,NS,ASD,2016-12-06T23:17:00Z,PT53S
DMNZ,Diemen Zuid,5789,Sprinter,NS,HVS,2016-12-06T23:14:00Z,PT1M48S
DMNZ,Diemen Zuid,5789,Sprinter,NS,HVS,2016-12-06T23:14:00Z,PT1M48S
GD,Gouda,11784,Intercity,NS,GVC,2016-12-06T23:19:00Z,PT0S
GD,Gouda,11784,Intercity,NS,GVC,2016-12-06T23:19:00Z,PT0S
ALM,Almere Centrum,4686,Sprinter,NS,ASD,2016-12-06T23:17:00Z,PT53S
ALM,Almere Centrum,4686,Sprinter,NS,ASD,2016-12-06T23:17:00Z,PT53S
HRN,Haren,9192,Sprinter,NS,ASN,2016-12-06T23:14:00Z,PT1M50S
HRN,Haren,9192,Sprinter,NS,ASN,2016-12-06T23:14:00Z,PT1M50S
HRN,Haren,9192,Sprinter,NS,ASN,2016-12-06T23:14:00Z,PT1M50S
HRN,Haren,9192,Sprinter,NS,ASN,2016-12-06T23:14:00Z,PT1M50S
EHV,Eindhoven,885,Intercity,NS,MT,2016-12-06T23:01:00Z,PT14M27S
EHV,Eindhoven,885,Intercity,NS,MT,2016-12-06T23:01:00Z,PT14M27S
WT,Weert,885,Intercity,NS,MT,2016-12-06T23:19:00Z,PT13M3S
WT,Weert,885,Intercity,NS,MT,2016-12-06T23:19:00Z,PT13M3S
RM,Roermond,885,Intercity,NS,MT,2016-12-06T23:37:00Z,PT11M43S
RM,Roermond,885,Intercity,NS,MT,2016-12-06T23:37:00Z,PT11M43S
STD,Sittard,885,Intercity,NS,MT,2016-12-06T23:53:00Z,PT10M32S
STD,Sittard,885,Intercity,NS,MT,2016-12-06T23:53:00Z,PT10M32S
LAA,Den Haag Laan v NOI,12680,Intercity,NS,RSD,2016-12-06T23:14:00Z,PT1M29S
LAA,Den Haag Laan v NOI,12680,Intercity,NS,RSD,2016-12-06T23:14:00Z,PT1M29S
GV,Den Haag HS,12680,Intercity,NS,RSD,2016-12-06T23:19:00Z,PT1M15S
GV,Den Haag HS,12680,Intercity,NS,RSD,2016-12-06T23:19:00Z,PT1M15S
GV,Den Haag HS,5193,Sprinter,NS,DDR,2016-12-06T23:19:00Z,PT0S
GV,Den Haag HS,5193,Sprinter,NS,DDR,2016-12-06T23:19:00Z,PT0S
VRY,Venray,32287,Stoptrein,Veolia,VL,2016-12-06T23:15:00Z,PT0S
VRY,Venray,32287,Stoptrein,Veolia,VL,2016-12-06T23:15:00Z,PT0S
EHV,Eindhoven,885,Intercity,NS,MT,2016-12-06T23:01:00Z,PT14M27S
EHV,Eindhoven,885,Intercity,NS,MT,2016-12-06T23:01:00Z,PT14M27S
NS,Nunspeet,5688,Sprinter,NS,UT,2016-12-06T23:11:00Z,PT6M29S
NS,Nunspeet,5688,Sprinter,NS,UT,2016-12-06T23:11:00Z,PT6M29S
LAA,Den Haag Laan v NOI,12680,Intercity,NS,RSD,2016-12-06T23:14:00Z,PT1M29S
LAA,Den Haag Laan v NOI,12680,Intercity,NS,RSD,2016-12-06T23:14:00Z,PT1M29S
WTV,Westervoort,30988,Stoptrein,Arriva,AH,2016-12-06T23:18:00Z,PT0S
WTV,Westervoort,30988,Stoptrein,Arriva,AH,2016-12-06T23:18:00Z,PT0S
DVN,Duiven,30988,Stoptrein,Arriva,AH,2016-12-06T23:15:00Z,PT0S
DVN,Duiven,30988,Stoptrein,Arriva,AH,2016-12-06T23:15:00Z,PT0S
ZLW,Lage Zwaluwe,5186,Sprinter,NS,GV,2016-12-06T23:10:00Z,PT5M58S
ZLW,Lage Zwaluwe,5186,Sprinter,NS,GV,2016-12-06T23:10:00Z,PT5M58S
DDZD,Dordrecht Zuid,5186,Sprinter,NS,GV,2016-12-06T23:18:00Z,PT5M21S
DDZD,Dordrecht Zuid,5186,Sprinter,NS,GV,2016-12-06T23:18:00Z,PT5M21S
DDR,Dordrecht,5186,Sprinter,NS,GV,2016-12-06T23:25:00Z,PT4M2S
DDR,Dordrecht,5186,Sprinter,NS,GV,2016-12-06T23:25:00Z,PT4M2S
ZWD,Zwijndrecht,5186,Sprinter,NS,GV,2016-12-06T23:29:00Z,PT3M44S
ZWD,Zwijndrecht,5186,Sprinter,NS,GV,2016-12-06T23:29:00Z,PT3M44S
BRD,Barendrecht,5186,Sprinter,NS,GV,2016-12-06T23:35:00Z,PT3M16S
BRD,Barendrecht,5186,Sprinter,NS,GV,2016-12-06T23:35:00Z,PT3M16S
RLB,Rotterdam Lombardijen,5186,Sprinter,NS,GV,2016-12-06T23:39:00Z,PT2M57S
RLB,Rotterdam Lombardijen,5186,Sprinter,NS,GV,2016-12-06T23:39:00Z,PT2M57S
RTD,Rotterdam Centraal,5186,Sprinter,NS,GV,2016-12-06T23:48:00Z,PT2M18S
RTD,Rotterdam Centraal,5186,Sprinter,NS,GV,2016-12-06T23:48:00Z,PT2M18S
RTZ,Rotterdam Zuid,5186,Sprinter,NS,GV,2016-12-06T23:42:00Z,PT2M44S
RTZ,Rotterdam Zuid,5186,Sprinter,NS,GV,2016-12-06T23:42:00Z,PT2M44S
DTZ,Delft Zuid,5186,Sprinter,NS,GV,2016-12-06T23:58:00Z,PT1M33S
DTZ,Delft Zuid,5186,Sprinter,NS,GV,2016-12-06T23:58:00Z,PT1M33S
SDM,Schiedam Centrum,5186,Sprinter,NS,GV,2016-12-06T23:52:00Z,PT2M1S
SDM,Schiedam Centrum,5186,Sprinter,NS,GV,2016-12-06T23:52:00Z,PT2M1S
DT,Delft,5186,Sprinter,NS,GV,2016-12-07T00:01:00Z,PT1M19S
DT,Delft,5186,Sprinter,NS,GV,2016-12-07T00:01:00Z,PT1M19S
ZLW,Lage Zwaluwe,5186,Sprinter,NS,GV,2016-12-06T23:10:00Z,PT5M58S
ZLW,Lage Zwaluwe,5186,Sprinter,NS,GV,2016-12-06T23:10:00Z,PT5M58S
RSW,Rijswijk,5186,Sprinter,NS,GV,2016-12-07T00:05:00Z,PT1M1S
RSW,Rijswijk,5186,Sprinter,NS,GV,2016-12-07T00:05:00Z,PT1M1S
ZD,Zaandam,1591,Intercity,NS,ASD,2016-12-06T23:17:00Z,PT1M13S
ZD,Zaandam,1591,Intercity,NS,ASD,2016-12-06T23:17:00Z,PT1M13S
ASS,Amsterdam Sloterdijk,1584,Intercity,NS,HN,2016-12-06T23:15:00Z,PT0S
ASS,Amsterdam Sloterdijk,1584,Intercity,NS,HN,2016-12-06T23:15:00Z,PT0S
BHDV,Boven-Hardinxveld,36795,Stoptrein,Arriva,GR,2016-12-07T00:26:00Z,PT0S
BHDV,Boven-Hardinxveld,36795,Stoptrein,Arriva,GR,2016-12-07T00:26:00Z,PT0S
RTZ,Rotterdam Zuid,15195,Sprinter,NS,DDR,2016-12-07T00:26:00Z,PT0S
RTZ,Rotterdam Zuid,15195,Sprinter,NS,DDR,2016-12-07T00:26:00Z,PT0S
LEDN,Leiden Centraal,6399,Sprinter,NS,GV,2016-12-07T00:26:00Z,PT0S
LEDN,Leiden Centraal,6399,Sprinter,NS,GV,2016-12-07T00:26:00Z,PT0S
AKL,Arkel,36790,Stoptrein,Arriva,DDR,2016-12-07T00:26:00Z,PT0S
AKL,Arkel,36790,Stoptrein,Arriva,DDR,2016-12-07T00:26:00Z,PT0S
LP,Loppersum,37798,Stoptrein,Arriva,GN,2016-12-07T00:26:00Z,PT0S
LP,Loppersum,37798,Stoptrein,Arriva,GN,2016-12-07T00:26:00Z,PT0S
HGL,Hengelo,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:18:00Z,PT1M7S
HGL,Hengelo,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:18:00Z,PT1M7S
ASDZ,Amsterdam Zuid,4391,Sprinter,NS,LLS,2016-12-06T23:19:00Z,PT0S
ASDZ,Amsterdam Zuid,4391,Sprinter,NS,LLS,2016-12-06T23:19:00Z,PT0S
UTLN,Utrecht Lunetten,16084,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT3M3S
UTLN,Utrecht Lunetten,16084,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT3M3S
VD,Vorden,30881,Stoptrein,Arriva,WW,2016-12-06T23:15:00Z,PT54S
VD,Vorden,30881,Stoptrein,Arriva,WW,2016-12-06T23:15:00Z,PT54S
UTVR,Utrecht Vaartsche Rijn,16084,Sprinter,NS,UT,2016-12-06T23:16:00Z,PT2M49S
UTVR,Utrecht Vaartsche Rijn,16084,Sprinter,NS,UT,2016-12-06T23:16:00Z,PT2M49S
UTLN,Utrecht Lunetten,16084,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT3M3S
UTLN,Utrecht Lunetten,16084,Sprinter,NS,UT,2016-12-06T23:13:00Z,PT3M3S
AC,Abcoude,4084,Sprinter,NS,ASD,2016-12-06T23:19:00Z,PT0S
AC,Abcoude,4084,Sprinter,NS,ASD,2016-12-06T23:19:00Z,PT0S
HK,Heemskerk,14891,Sprinter,NS,UTG,2016-12-06T23:13:00Z,PT4M30S
HK,Heemskerk,14891,Sprinter,NS,UTG,2016-12-06T23:13:00Z,PT4M30S
BHV,Bilthoven,5589,Sprinter,NS,BRN,2016-12-06T23:16:00Z,PT0S
BHV,Bilthoven,5589,Sprinter,NS,BRN,2016-12-06T23:16:00Z,PT0S
KBD,Krabbendijke,2674,Intercity,NS,VS,2016-12-06T23:16:00Z,PT1M21S
KBD,Krabbendijke,2674,Intercity,NS,VS,2016-12-06T23:16:00Z,PT1M21S
RB,Rilland-Bath,2674,Intercity,NS,VS,2016-12-06T23:12:00Z,PT3M20S
RB,Rilland-Bath,2674,Intercity,NS,VS,2016-12-06T23:12:00Z,PT3M20S
KBD,Krabbendijke,2674,Intercity,NS,VS,2016-12-06T23:16:00Z,PT3M1S
KBD,Krabbendijke,2674,Intercity,NS,VS,2016-12-06T23:16:00Z,PT3M1S
KRG,Kruiningen-Yerseke,2674,Intercity,NS,VS,2016-12-06T23:21:00Z,PT2M37S
KRG,Kruiningen-Yerseke,2674,Intercity,NS,VS,2016-12-06T23:21:00Z,PT2M37S
BZL,Kapelle-Biezelinge,2674,Intercity,NS,VS,2016-12-06T23:27:00Z,PT2M9S
BZL,Kapelle-Biezelinge,2674,Intercity,NS,VS,2016-12-06T23:27:00Z,PT2M9S
RB,Rilland-Bath,2674,Intercity,NS,VS,2016-12-06T23:12:00Z,PT3M20S
